epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4432,1.12795,2.90339,1.24442,0.00833,1,0.26344,0.08039,1.86787,3.15256,1.5802,0.000592593,0.000592593,0.000592593
2,8.18228,1.16911,2.25097,1.21264,0.00833,1,0.82663,0.46244,1.0926,2.72511,1.11177,0.00122809,0.00122809,0.00122809
3,9.61016,1.33696,1.65125,1.31453,1,0.15312,0.60075,0.31006,1.29317,2.70512,1.35394,0.00183059,0.00183059,0.00183059
4,11.0052,1.32811,1.38467,1.28417,0.59221,0.10588,0.42562,0.17677,1.89584,3.02546,1.99548,0.0018515,0.0018515,0.0018515
5,12.3569,1.28948,1.37867,1.34297,0.86405,0.59818,0.76594,0.45224,1.18162,1.98247,1.37458,0.001802,0.001802,0.001802
6,13.7469,1.17131,1.21207,1.23333,0.89536,0.50337,0.6187,0.29389,1.57384,1.98722,1.62985,0.0017525,0.0017525,0.0017525
7,15.0782,1.11233,1.11169,1.17806,0.47772,0.35294,0.36635,0.17858,1.77871,1.92655,1.80057,0.001703,0.001703,0.001703
8,16.4806,1.02759,1.04485,1.14392,0.54043,0.17994,0.27783,0.10552,2.40517,2.47254,2.13837,0.0016535,0.0016535,0.0016535
9,17.9071,1.0666,1.01688,1.14576,0.60303,0.41176,0.44851,0.22933,1.61013,1.92584,1.37617,0.001604,0.001604,0.001604
10,19.2462,1.03159,1.02093,1.12728,0.81186,0.77647,0.87953,0.56575,1.00878,1.45398,1.12388,0.0015545,0.0015545,0.0015545
11,20.7246,1.00124,0.98967,1.10485,0.84469,0.8958,0.92646,0.61577,0.93463,1.22312,1.10547,0.001505,0.001505,0.001505
12,22.183,1.03832,0.96918,1.15211,0.8096,0.81176,0.89744,0.57454,1.16599,1.31564,1.28165,0.0014555,0.0014555,0.0014555
13,23.6029,0.99857,0.94823,1.11734,0.90803,0.88235,0.94683,0.6367,1.02937,1.00316,1.17022,0.001406,0.001406,0.001406
14,25.0685,0.97293,0.91137,1.08365,0.89988,0.94118,0.96757,0.67442,0.94938,0.95451,1.05558,0.0013565,0.0013565,0.0013565
15,26.5434,0.95016,0.88278,1.11446,0.92911,0.92941,0.96439,0.67401,0.95402,0.97827,1.24642,0.001307,0.001307,0.001307
16,28.0037,0.97091,0.90028,1.09816,0.95026,0.89901,0.96254,0.66089,0.95925,0.98376,1.19495,0.0012575,0.0012575,0.0012575
17,29.357,0.93025,0.88866,1.1026,0.94168,0.94978,0.95884,0.65521,0.97449,0.82415,1.15353,0.001208,0.001208,0.001208
18,30.6909,0.87913,0.83968,1.05346,0.95496,0.90588,0.95844,0.683,0.92815,0.75997,1.13712,0.0011585,0.0011585,0.0011585
19,32.0841,0.86128,0.83061,1.07429,0.93929,0.91765,0.96734,0.6953,0.93382,0.76414,1.11062,0.001109,0.001109,0.001109
20,33.434,0.90199,0.81892,1.08496,0.96375,0.93837,0.97368,0.72034,0.92247,0.74068,1.1049,0.0010595,0.0010595,0.0010595
21,34.8294,0.88471,0.83272,1.06104,0.95959,0.94118,0.97548,0.70455,0.9375,0.80912,1.14525,0.00101,0.00101,0.00101
22,36.2157,0.89403,0.83755,1.05189,0.95233,0.94004,0.97915,0.74748,0.87645,0.67279,1.04852,0.0009605,0.0009605,0.0009605
23,37.6352,0.86147,0.78821,1.04845,0.97576,0.95294,0.98686,0.73153,0.91109,0.71041,1.05224,0.000911,0.000911,0.000911
24,39.0384,0.85109,0.81081,1.06112,0.97696,0.92941,0.98593,0.72322,0.96404,0.68436,1.09827,0.0008615,0.0008615,0.0008615
25,40.396,0.84293,0.78684,1.05731,0.97911,0.95294,0.98932,0.74253,0.88629,0.65809,1.05767,0.000812,0.000812,0.000812
26,41.7659,0.8276,0.77264,1.0355,0.98161,0.95294,0.98988,0.76294,0.69595,0.6156,0.95489,0.0007625,0.0007625,0.0007625
27,43.2026,0.83955,0.78156,1.05052,0.98765,0.94102,0.98915,0.76156,0.73925,0.61798,0.96835,0.000713,0.000713,0.000713
28,44.6634,0.79661,0.73221,1.02805,0.97073,0.92941,0.98487,0.75749,0.72102,0.60043,0.96839,0.0006635,0.0006635,0.0006635
29,46.0739,0.82111,0.73075,1.03199,0.95623,0.92941,0.98092,0.76717,0.75634,0.6055,0.97762,0.000614,0.000614,0.000614
30,47.5218,0.74378,0.68371,1.0082,0.97177,0.92941,0.98175,0.74657,0.80352,0.60843,0.96999,0.0005645,0.0005645,0.0005645
31,56.6911,0.62934,0.86323,0.92403,0.98747,0.92702,0.98229,0.76406,0.87098,0.61467,0.9967,0.000515,0.000515,0.000515
32,58.223,0.6317,0.7128,0.91997,1,0.93692,0.97706,0.75972,0.87333,0.6221,0.99964,0.0004655,0.0004655,0.0004655
33,59.6932,0.59746,0.67524,0.91488,0.98763,0.93909,0.97978,0.76243,0.83238,0.62477,0.98013,0.000416,0.000416,0.000416
34,61.1482,0.60296,0.65958,0.90112,0.97959,0.92941,0.98915,0.76852,0.69604,0.59224,0.9414,0.0003665,0.0003665,0.0003665
35,62.5488,0.58611,0.61044,0.90779,0.92973,0.97647,0.9864,0.77567,0.6483,0.59502,0.9352,0.000317,0.000317,0.000317
36,64.0126,0.58957,0.609,0.89994,0.95109,0.97647,0.98587,0.77973,0.62266,0.60308,0.9248,0.0002675,0.0002675,0.0002675
37,65.3698,0.57999,0.6027,0.91827,0.95703,0.96471,0.98912,0.78429,0.64055,0.61063,0.92001,0.000218,0.000218,0.000218
38,66.8405,0.58092,0.59532,0.89891,0.98534,0.96471,0.99147,0.77554,0.68378,0.60227,0.92621,0.0001685,0.0001685,0.0001685
39,68.2485,0.53491,0.58692,0.89478,0.98792,0.96209,0.99165,0.78605,0.6772,0.59371,0.9254,0.000119,0.000119,0.000119
